,id,name,url,image,tracks
11,5gMjf6A0YH9rALweR0ejeO,eargasm | joyride,https://open.spotify.com/playlist/5gMjf6A0YH9rALweR0ejeO,https://i.scdn.co/image/ab67706c0000da84767bc977ee8ba5f749476e4c,167
12,35W6kXZzWwRBcmHvKDRvyE,eargasm | kickin' it ol' skool,https://open.spotify.com/playlist/35W6kXZzWwRBcmHvKDRvyE,https://i.scdn.co/image/ab67706c0000da8422c999d59433703c6709e40b,94
13,7a87R9rSGECEIJgDeVrojF,eargasm | loungin',https://open.spotify.com/playlist/7a87R9rSGECEIJgDeVrojF,https://i.scdn.co/image/ab67706c0000bebb10a80cc158fb8d8a05d83d69,133
14,31KDCs5aYq9okxLnsdgOIH,eargasm | neon socks,https://open.spotify.com/playlist/31KDCs5aYq9okxLnsdgOIH,https://i.scdn.co/image/ab67706c0000da8471e838324564fc4f31b89cc7,100
15,5LzidLwoF4Th3WDHUoUEOK,eargasm | on top,https://open.spotify.com/playlist/5LzidLwoF4Th3WDHUoUEOK,https://i.scdn.co/image/ab67706c0000da84eadef544470c81128e1a744b,39
16,3MmEnUrCupZobijAHTeHLE,eargasm | organised noise,https://open.spotify.com/playlist/3MmEnUrCupZobijAHTeHLE,https://i.scdn.co/image/ab67706c0000da849c6a244f4e35b036f9c4dec3,163
17,190gSyrWHdtxGe8cHbx1vr,eargasm | oscilloscope,https://open.spotify.com/playlist/190gSyrWHdtxGe8cHbx1vr,https://i.scdn.co/image/ab67706c0000bebb8fedcf15d581717a28a2e35b,131
18,27kF0yvqV2v4NUkfqBJA11,eargasm | polymers,https://open.spotify.com/playlist/27kF0yvqV2v4NUkfqBJA11,https://i.scdn.co/image/ab67706c0000da846aad3276fee1ac225c0eed2d,281
19,7FJAYsYTBwsGqXxSwl5Jht,eargasm | ptsd,https://open.spotify.com/playlist/7FJAYsYTBwsGqXxSwl5Jht,https://i.scdn.co/image/ab67706c0000da84efe054160a8c3a7b1c87d490,123
20,53N2EgQ15C9MxejBqbMRLr,eargasm | sky gazing,https://open.spotify.com/playlist/53N2EgQ15C9MxejBqbMRLr,https://i.scdn.co/image/ab67706c0000da84597cc4004c34ff6402ca70fb,44
21,7Ij6BX3PvfwgItYiXVXaU3,eargasm | sleepwalking,https://open.spotify.com/playlist/7Ij6BX3PvfwgItYiXVXaU3,https://i.scdn.co/image/ab67706c0000bebb4af697cfb30555025d569394,130
22,21gcPcBIyOJ94ZQRCblo0w,eargasm | solitary confinement,https://open.spotify.com/playlist/21gcPcBIyOJ94ZQRCblo0w,https://i.scdn.co/image/ab67706c0000da843d021878d311d584e68436c9,131
23,7A21vKIId6f8j2tlcPZ8tw,eargasm | space odyssey,https://open.spotify.com/playlist/7A21vKIId6f8j2tlcPZ8tw,https://i.scdn.co/image/ab67706c0000bebb49081ebd836a86b9f21c95a1,176
24,2ZfWdyIxmbSf46bV1Usk9I,eargasm | sunny days,https://open.spotify.com/playlist/2ZfWdyIxmbSf46bV1Usk9I,https://i.scdn.co/image/ab67706c0000da84020d698ba18263ae6b034f9b,62
