,acousticness,danceability,energy,track_id,instrumentalness,liveness,speechiness,valence
146,0.843,0.378,0.331,4GjD33yTih7RqvGkH9C9wO,0.568,0.0927,0.0342,0.0655
147,0.219,0.749,0.401,1hPZt6ih3ZEiU5Xv7iHGeF,0.0931,0.206,0.0391,0.616
148,0.263,0.576,0.436,6hWjywqSn9XFl4RrfoJ6P4,3.42e-05,0.142,0.0292,0.176
149,0.884,0.854,0.631,4Z3P5tSmsB7BkFHFc38dz7,0.00999,0.202,0.0452,0.609
150,0.638,0.685,0.463,1rnsCJP2Xha5bbl3Ng2xp1,0.000451,0.345,0.394,0.278
151,0.822,0.724,0.543,4pLhZp8E0Li15wHTHgqf4M,0.892,0.108,0.0475,0.0962
152,0.0511,0.639,0.557,24sN3bU15V8g1XKxm32HVU,0.222,0.108,0.0428,0.741
153,0.061,0.47,0.393,1YwbQmtjQo7IPMfdovait3,0.000165,0.218,0.0921,0.598
154,0.199,0.631,0.44,61TbEPCDY6PCHBKI5qRkZl,0.00117,0.193,0.0339,0.278
155,0.111,0.671,0.546,4QxvJNt0zBgTDUiOwjJ2EH,0.0285,0.0938,0.0294,0.194
156,0.0942,0.57,0.747,1PeY7UcO6qNOvCYl8SapIi,0.554,0.337,0.0313,0.38
157,0.131,0.654,0.543,2Poo4caj1UwCxbKJP5lcD6,0.744,0.107,0.0287,0.279
158,0.864,0.493,0.336,4SsNEB3KYHRyGrpJhi2Ddd,0.00179,0.115,0.218,0.277
159,0.449,0.559,0.554,4rcE4XrVEhmHb3uof68uyi,1.39e-05,0.0914,0.0457,0.206
160,0.971,0.48,0.142,5vEL3EpvP50ynXJqLon8yv,0.582,0.104,0.0257,0.141
161,0.939,0.551,0.192,6ddQQfLNeFeJXB56xKMnoc,0.0641,0.101,0.0379,0.1
162,0.379,0.709,0.498,1jCVudHbEBMAf0XdLyfgJC,0.85,0.101,0.0253,0.264
163,0.165,0.696,0.628,5TIJGXxF77qucugjrcPdfM,0.0707,0.104,0.0418,0.198
164,0.0734,0.455,0.628,19B0zdvMwtNMGlJwi5As69,0.00969,0.194,0.0278,0.65
165,0.879,0.66,0.28,7sIZcntN4MgDOz36jqJV5o,0.704,0.123,0.0294,0.171
166,0.979,0.536,0.0356,6mOX5TIWwFW9iRm51tdLii,0.934,0.0888,0.0413,0.169
167,0.959,0.757,0.351,2ksfnGYDDMmpF5OOLXfVp8,0.326,0.0914,0.0362,0.303
168,0.503,0.676,0.217,06EcVIe6OXRNHRwiiWsBZf,0.851,0.106,0.0881,0.0984
169,0.719,0.749,0.45,48ZXZkxOYJVobKDecumqih,0.887,0.11,0.0759,0.199
170,0.387,0.736,0.458,430AnSE09cNCZ42bG27QyU,0.000128,0.113,0.0327,0.317
171,0.407,0.358,0.76,6VVr03DVlC6rqp8uFTPVUx,0.00203,0.256,0.14,0.741
172,0.0302,0.643,0.414,1sL0oHu8NCQpImkjxkoVXj,0.849,0.183,0.101,0.967
173,0.403,0.826,0.243,4X9JAGRyJnnHN3KUjq1r9C,0.703,0.108,0.0535,0.0879
174,0.703,0.656,0.592,3dqcRnxc2vIMZfIOi0lOd3,0.0,0.104,0.508,0.834
175,0.127,0.719,0.491,0K0Xj8Tv4zvwkdPjXTpTX5,0.567,0.112,0.045,0.447
176,0.241,0.373,0.582,3aXOOHIFBOMBdTr5UWljSQ,0.0883,0.66,0.298,0.537
177,0.151,0.929,0.465,1ZLMPbCw6W5gjcEdOrODq3,0.000546,0.0906,0.0471,0.533
178,0.00904,0.352,0.79,4UA7F1SRMC4JM08gopNWwS,0.865,0.127,0.119,0.0619
179,0.664,0.7,0.567,6aBO03utB6exkY5pXp1JAE,0.0,0.348,0.401,0.787
180,0.592,0.596,0.533,2aGdUcIFCB8vjxqibN3JhZ,0.0113,0.31,0.0372,0.205
181,0.231,0.662,0.598,12sWl802QsIsizia0hwAYa,0.293,0.41,0.0263,0.333
182,0.499,0.774,0.521,1BphUFXP6PeylvEx5GPrA5,0.054,0.0942,0.274,0.154
183,0.204,0.403,0.608,4Dcs9BTQLhcVfZ1xs7T1cz,0.0,0.145,0.064,0.664
184,0.178,0.506,0.518,1cXFVAb81Sh0deOedv0HD6,0.00143,0.22,0.264,0.261
185,0.0993,0.551,0.668,2jYHHrLQI7q3sEND1jGI2x,0.698,0.127,0.0627,0.153
186,0.00606,0.715,0.789,3DnVO6Fc2Op0KlcouTaD0K,0.941,0.0892,0.0463,0.846
187,0.000545,0.653,0.784,0Zt19WhdjNWTuesWBGju7o,0.00279,0.0796,0.423,0.949
188,0.206,0.511,0.697,0Fnr8QjnMda7t005XIZN3v,4.91e-05,0.0986,0.383,0.663
189,0.537,0.441,0.503,45nzVwZB2jR2ygbdkk6RGS,0.000114,0.31,0.351,0.504
190,0.0496,0.817,0.934,0tdArisopWbBGEVQrxXE16,0.00039,0.139,0.0616,0.313
191,0.000732,0.498,0.707,5QImGf4zsXI6yrt22m5Hju,0.314,0.195,0.0443,0.0875
192,0.00485,0.71,0.595,4hGbq3TfapH7i4ugeWuoW1,0.822,0.11,0.0501,0.345
193,0.683,0.679,0.96,04AD9vIvCiO5qXjviXj37T,0.898,0.117,0.082,0.55
194,0.492,0.546,0.404,3O5JIwSON3KBaoyMUsjLjn,0.0269,0.115,0.0353,0.0395
195,0.925,0.781,0.179,6oP7ZiztXEhYkDCSUm1z5J,0.893,0.122,0.0557,0.352
196,0.00648,0.453,0.434,7KeVJeaCaCLh3rnY2IBhB2,0.892,0.0995,0.0423,0.16
197,0.629,0.691,0.464,3CmuJxwX3v6gHZxlIlP3sy,0.123,0.684,0.0722,0.344
198,0.0821,0.627,0.685,5LAQZX5LB8jRkFleqSMbwz,0.732,0.142,0.346,0.563
199,0.27,0.524,0.798,7rvePtAgQC0nI8QyF10wx3,0.00328,0.142,0.112,0.707
200,0.382,0.52,0.544,2xNNvR2C0lVjVXetJPWM9y,0.858,0.0972,0.0483,0.194
201,0.875,0.302,0.371,5F7BfCrjjSPoRdjDh2h1bw,0.0002,0.388,0.0577,0.243
202,0.0491,0.548,0.509,3Y882N5fmoDUlLmsxKC13G,0.0659,0.199,0.0501,0.145
203,0.078,0.633,0.669,6P91HNvnkWjVZ8gltInTUM,0.0038,0.0514,0.0472,0.407
204,0.0048,0.421,0.757,10oZiJL4ww3bJS0xQxnSnJ,0.0257,0.407,0.0561,0.378
205,0.171,0.565,0.534,6BGlP9eGVEvAXUf3I9mdSA,0.876,0.106,0.0336,0.0367
206,0.39,0.599,0.344,5LUDpuNwje6oFPJjKDM5GL,0.388,0.107,0.0404,0.09
207,0.0108,0.563,0.688,4meiHMEVHPsIIHMCjIx1li,0.0508,0.346,0.0587,0.533
208,0.605,0.739,0.536,4EY0SD8MYZ4bPwAfmp3WdC,0.592,0.0975,0.0611,0.445
209,0.478,0.659,0.59,5FWPdgtQACI6DPE2CBPUpm,0.003,0.116,0.27,0.486
210,0.125,0.71,0.59,49C2PeOFZ3UlxRkVnIWzlf,0.753,0.099,0.0353,0.28
211,0.0728,0.621,0.6,3G0Qr74H9sEw6KfUvWK2Hf,0.0156,0.107,0.485,0.758
212,0.0803,0.508,0.444,1AEDzd1tNa5HT2aAW65wNM,0.836,0.429,0.169,0.551
213,0.000952,0.864,0.342,5WDY6oq6wa5fMsUUz5S21T,0.0554,0.704,0.263,0.269
214,0.0456,0.865,0.592,312yaJwTQ6fwK7lxhHDkvJ,0.836,0.0948,0.0304,0.18
215,0.0026,0.587,0.419,553PmMTGGaaESCV26nb5KB,0.477,0.0849,0.0347,0.0856
216,0.0543,0.568,0.5,4b9selMaf4y3c3nHuTDzfv,0.15,0.0876,0.0549,0.456
217,0.549,0.388,0.371,6xV0vq00cxZqLSRrZtxn3w,0.033,0.106,0.182,0.316
218,0.772,0.726,0.202,6FwRu39rhgBnYzZSXDSmLH,0.897,0.0782,0.231,0.682
219,0.00661,0.612,0.748,3AfPN3ZR0gJ7b9IG1tPyk3,0.0,0.0499,0.303,0.877
220,0.0499,0.456,0.734,0DbmsqP6basyejOSSh6MKP,0.579,0.335,0.0468,0.171
221,0.0248,0.764,0.67,0ojrfPbht7Z7UzQZkf4fAn,0.143,0.0402,0.315,0.475
222,0.00215,0.486,0.766,53SM9DjfRbJURO0vqP9Zwb,0.597,0.102,0.0361,0.509
223,0.00387,0.622,0.611,30St8Llcy8E6AgXMjWdyyJ,0.829,0.312,0.0342,0.363
224,0.522,0.641,0.549,5xLRfAVRKGMejtz6TXgodL,0.000113,0.0764,0.1,0.345
225,0.834,0.556,0.227,4hboEacHpNTLg2xPmAfjR3,0.8,0.0874,0.0856,0.165
226,0.308,0.84,0.486,4cVAPZiwRsS7lEQIEMEJO2,0.715,0.0883,0.0545,0.599
227,0.915,0.768,0.173,2KY54p2m5C2UN2HxXkfRAU,0.851,0.122,0.287,0.374
228,0.209,0.443,0.617,3xm35JJCYd1MgDZHmW0BZd,0.859,0.315,0.15,0.632
229,0.0574,0.726,0.851,4eudRmfh9jrKghOOshNBUG,0.866,0.276,0.0712,0.348
230,0.00119,0.707,0.586,1oYEn2m8XpINU941Gc6HuE,0.504,0.146,0.0475,0.515
231,0.203,0.494,0.481,66bE9k52RTAvygV0bsLOuE,0.621,0.132,0.0454,0.325
232,0.0155,0.566,0.587,4YaNLEPw3MrIgkGOkBrAh2,2.05e-05,0.111,0.0308,0.246
233,0.043,0.481,0.927,4C7dJ2aqYbMZXtv8Wu23wo,0.032,0.55,0.242,0.54
234,0.0175,0.648,0.684,65dT5Oql4JJYF6P9RpTu3Q,0.811,0.0878,0.0414,0.433
235,0.32,0.786,0.697,0wstdZhnrfwxP7RetOCRpl,0.172,0.107,0.275,0.518
236,0.328,0.446,0.511,0JWPb1QZnJO9WzTSgCX02j,0.002,0.544,0.0312,0.0783
237,0.206,0.336,0.652,6Zuu6WgmX0cIWa7ZYK9jpQ,0.894,0.193,0.251,0.961
238,0.828,0.383,0.271,4AUiwy6um4MfflVrzPoJTE,0.0532,0.609,0.135,0.349
239,0.546,0.631,0.537,6pQ9bUJLlyZ84eyvckdXQF,0.00865,0.452,0.047,0.211
240,0.366,0.53,0.62,1xAQyyYgzOIhhudyj41wnC,0.805,0.361,0.0354,0.128
241,0.0058,0.508,0.823,5SCjRP2xmaDvktOAemeEEy,0.21,0.389,0.0602,0.387
242,0.524,0.788,0.307,5ZmtuItRJDMBYsgYS8KkZ1,0.36,0.236,0.196,0.281
243,0.000461,0.594,0.854,43NjUNxgL9UaM6PEysFui8,0.621,0.161,0.0404,0.481
244,0.0762,0.613,0.607,28xaS6V1dhQPVvd3i7svE6,0.446,0.333,0.041,0.151
245,0.351,0.72,0.531,4yF2rPFpB3AOIpBkA37ebj,0.756,0.106,0.0381,0.156
246,0.0818,0.805,0.666,1hnbhzmnq1Kz85VCWqeBph,2.7e-05,0.311,0.241,0.663
247,0.335,0.714,0.436,6rny39NmEUdxkNhaVegieq,0.0266,0.108,0.0754,0.634
248,0.0551,0.634,0.494,2DYFCpebo4JKXlTUIm02Yt,0.877,0.117,0.0303,0.279
249,0.62,0.662,0.592,1zcx7PaHUj8e6tnmUXTVQr,0.0944,0.106,0.0677,0.736
250,0.494,0.518,0.499,7exJ0zTKx7JEozFqRDI2fl,0.000516,0.119,0.262,0.04
251,0.158,0.849,0.324,4826i0tvsLPpTAUO1yVv73,0.381,0.114,0.428,0.554
252,0.0776,0.673,0.663,61oqzUM14vEnW5pV9f3qOc,0.0,0.186,0.363,0.373
253,0.178,0.331,0.661,5Z7Zzb5IWqbyA8yvmUhdzI,0.000257,0.0931,0.212,0.201
254,0.00144,0.49,0.494,1LLPiGy1genxnyPP2M0PXr,0.0111,0.112,0.0395,0.194
255,0.18,0.613,0.669,6rc7YeBedJrReYKSF9cFs6,0.925,0.0783,0.0315,0.191
256,0.759,0.407,0.342,02itbWKwA6u0FhiSNjaVHf,0.902,0.118,0.0306,0.0815
257,0.0475,0.767,0.457,2sVcw1xyQe44BGnEKLTzJB,0.565,0.109,0.156,0.384
