,track_artistid,track_genre
340,0tFVT92PBHTTLoKmS8WbFP,chillhop
341,462T0buQ5ScBUQCRpodDRf,funk
342,4u3JZVJYDq2F3KgnUFw9dp,alternative hip hop
343,6G69CndLxnRxLdy8MVLNmG,chillhop
344,3V2paBXEoZIAhfZRJmo2jL,electro swing
345,5kJsAiwFWEaNRPwvtkjnXz,alternative hip hop
346,3Iq4xdmSR2UfOAORhoH334,polish alternative
347,7vByi0TCh4wNTdqNK7dNqe,basel indie
348,0UH04oTYoas1uE6dwN4SPG,
349,26WKgv73kRHD0gEDKD1i8j,
350,5E5cEevLYdQHU04gIkA3ff,ambient techno
351,5dCpFeKxLbycrnsjWZjha8,electro swing
352,6vXJ4kIg2HlqsSfX3S1RHV,chillhop
353,0Idi5CuVXznxRkxzdUtdcQ,
354,5gigjnekB1RsPwKKitalWD,chillhop
355,18hiqhddMloGWzY8pNZ8qr,chillhop
356,0Q2Tc5yZFJpumLMc7Yz4e4,chillhop
357,4JhjlqgMbd4RlrT81VoTIF,chillhop
358,0KjF9pkI2bO9EMuB7LnHqP,chillwave
359,7rgCh0Go1ezmcV75kXQM2T,chillhop
360,4fpbUiU0gUoOO2S3JGRbXA,australian reggae fusion
361,0Q2Tc5yZFJpumLMc7Yz4e4,chillhop
362,0Q2Tc5yZFJpumLMc7Yz4e4,chillhop
363,44insiIQApkRaCMIbuaISJ,chillhop
364,6N4HlHINMvoTyAL0yhBUCk,chillhop
365,6e7BQ0gM6o8ecMXRZkXxlZ,alternative hip hop
366,6vXJ4kIg2HlqsSfX3S1RHV,chillhop
367,4gkhq1EjcLZjP60fbvOyJT,chillhop
368,3DtnSKmpjFGUzZcccWfG43,chillwave
369,5juOkIIy18sFw9L30syt1Z,alternative dance
370,38jDRxwK5wuTKAk54LEj1F,indie jazz
371,1cOFPHHf20vU7zghrpz1X2,
372,5ZzXaAuivVXuQaHCaRuxlD,
373,5lDtfHPqWN6MG9tFywnW8J,indie jazz
374,5Mi8XCo8Dd0WC1lmvh8lEy,
375,1c47yZHEy5HSqth3hexuIe,turkish electronic
376,45Ui3GdcxzbdJhhTtZLXO8,chillhop
377,6H6edBGSNltgBialYci7aM,mongolian hip hop
378,3AsWxxZTFPoCFxM1s8Lg1J,future funk
379,005aNwS2ayjqoZxwakSyt4,
380,4LLpKhyESsyAXpc4laK94U,hip hop
381,3DtnSKmpjFGUzZcccWfG43,chillwave
382,44insiIQApkRaCMIbuaISJ,chillhop
383,60b7IDlGflg5lgyfEGf9yB,chillhop
384,2oJgWr3LkpO9g9NyL8hiOJ,chillhop
385,6N4HlHINMvoTyAL0yhBUCk,chillhop
386,5GyUtaUuEnR7uhRF3jDj4s,deep house
387,5p1ichthTka1KT0iUvrlIu,chillhop
388,6OvOdUubb1MOOz2FtGWlHk,abstract beats
389,0yLmsf6RBPYqm6hvFJCPg6,indie jazz
390,3V35H6xv4eium9zl8CQeG5,ambeat
391,7lyI1b0T23IHhqImEcAP96,
392,1Z8ODXyhEBi3WynYw0Rya6,alternative hip hop
393,60b7IDlGflg5lgyfEGf9yB,chillhop
394,68P6JiHWJsv5VqfLPchS1n,broken beat
395,5cdE65wvlFqMFAeQ29MZgr,
396,6snr2uV0JQDKLW9yWzRkPj,chillhop
397,6pqiqWEK6A4VDYVJdNVZaz,
398,44insiIQApkRaCMIbuaISJ,chillhop
399,6snr2uV0JQDKLW9yWzRkPj,chillhop
400,69cjjIQEN8M6heOBT2SqZE,chillhop
401,3KrbWefSRojrufNTqBI1wy,focus beats
402,5I6WLC9Auo6aeTRHPQbdOv,lo-fi cover
403,7ms0f0617Pbchfrv3sEdaE,future bass
404,238y1dKPtMeFEpX3Y6H1Vr,downtempo
405,7e3FtKBIPLrIVm8g1FJMVg,abstract beats
406,17Zu03OgBVxgLxWmRUyNOJ,abstract beats
407,0LhotT6TyZgkzuLSd6pspG,chillhop
408,1fQDzf4lnUF4DYngrLJH0m,bass music
409,7w7NuGUb1tObaJgBCuqWev,
410,3YOthLzFPTgp0fEtLRUoES,indie jazz
411,2n5nqJyjPU7aLL0zbDa34D,
412,0gudreyiB0ewUFyPJk7Djs,
413,4s8ZGMVf3OiPktSP4ulpqU,alternative hip hop
414,67pW04a6jpdQR2yWqjcfxs,chillhop
415,3Dw9w3jnmr58ocgxiwITcq,electronica
416,0Dc7CbTE5mcvrprttS6GDs,belgian edm
417,135mViPxje2MED7hOnn2j9,vapor soul
418,3iOvXCl6edW5Um0fXEBRXy,downtempo
419,0cmWgDlu9CwTgxPhf403hb,downtempo
420,6C3Q1d8QOpgYuRdsTmSoVm,float house
421,64FRiqIrUyWPvGb83fAYLn,electro swing
422,1BqIPGrEhdjdLFpUzce2dh,progressive house
423,44fky3vQ6AYZ15CmNYrmyt,
424,6kkdxR4fLeX1bz8Ujruh3a,progressive house
425,5BNKzWZCbIsQz9zAsg9n6V,leipzig electronic
426,49mZfy9v5oNXAxp8FadWwI,alternative dance
427,5oOhM2DFWab8XhSdQiITry,chillwave
428,671aO7xxWHFDZ4Y115H89b,ambient house
429,23MIhFHpoOuhtEHZDrrnCS,ambient
430,23MIhFHpoOuhtEHZDrrnCS,ambient
431,23MIhFHpoOuhtEHZDrrnCS,ambient
432,1VQbKTxffoucVT6aFFPTh6,poznan indie
