,track_id,track_artist,track_artistid,track_name,track_duration,track_popularity,track_releasedate,track_preview,track_image,track_url,track_playlist,track_genre,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,key,key_confidence,mode,mode_confidence,number_of_sections,tempo,tempo_confidence,time_signature,time_signature_confidence
3331,4UvsEA3QgGqKwRHl7SQ6RL,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Haul - Superpoze Remix,261824,27,2017-09-08,https://p.scdn.co/mp3-preview/22c6d9f709febd82195eccb2a5d99c552b601fc1?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b2730630b4bbd3a431ca46b540b4,https://open.spotify.com/track/4UvsEA3QgGqKwRHl7SQ6RL,eargasm | sleepwalking,electronica,0.654,0.73,0.731,0.825,0.098,0.0315,0.586,7.0,0.38799999999999996,1.0,0.493,12.0,117.99700000000001,0.888,3.0,0.716
3332,2ApyFf1tYw7BJgzBEokxma,Joseph Shabason,7xoTSPGUr9u8FWR4G8AWoS,Aytche,228120,22,2017-08-25,https://p.scdn.co/mp3-preview/d08a902837a2b209edede73305436b85483720e4?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273f9864bab19d44de137ae6059,https://open.spotify.com/track/2ApyFf1tYw7BJgzBEokxma,eargasm | sleepwalking,experimental ambient,0.988,0.41200000000000003,0.0994,0.5,0.14300000000000002,0.0352,0.0397,10.0,0.9490000000000001,1.0,0.903,12.0,144.075,0.038,1.0,0.375
3333,2y6oYFxgLwxwMURmxNGSnA,Kinnship,58fzPwxNFw1Ae500uB038l,Call My Name,314746,40,2018-05-18,https://p.scdn.co/mp3-preview/52a9293fdee491429db8fcfa9e18dc8ca33a8bfe?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273c73facc1c89f2fc817de572f,https://open.spotify.com/track/2y6oYFxgLwxwMURmxNGSnA,eargasm | sleepwalking,vapor soul,0.809,0.5770000000000001,0.41700000000000004,0.591,0.114,0.0935,0.134,8.0,0.679,1.0,0.679,12.0,81.973,0.147,4.0,0.782
3334,7wl4CrKcTftB1ymaxSZxD3,Martyn Heyne,6xrIXAjnPpgitqGcPFsl6f,Fårö,304689,35,2017-11-17,https://p.scdn.co/mp3-preview/72b2c9be72c6a821f47bfd3818738ea5d39240f3?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b2738df45caea602b6a7d7be7e2b,https://open.spotify.com/track/7wl4CrKcTftB1ymaxSZxD3,eargasm | sleepwalking,neo-classical,0.963,0.522,0.105,0.919,0.11,0.0634,0.188,1.0,0.764,1.0,0.682,12.0,185.93400000000003,0.027000000000000003,4.0,0.6459999999999999
3335,7wl4CrKcTftB1ymaxSZxD3,Martyn Heyne,6xrIXAjnPpgitqGcPFsl6f,Fårö,304689,35,2017-11-17,https://p.scdn.co/mp3-preview/72b2c9be72c6a821f47bfd3818738ea5d39240f3?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b2738df45caea602b6a7d7be7e2b,https://open.spotify.com/track/7wl4CrKcTftB1ymaxSZxD3,eargasm | weightless,neo-classical,0.963,0.522,0.105,0.919,0.11,0.0634,0.188,1.0,0.764,1.0,0.682,12.0,185.93400000000003,0.027000000000000003,4.0,0.6459999999999999
3336,1gZ65GKX8xsGxucrC7XyHG,Darius,5vfEaoOBcK0Lzr07WN8KaK,Bright Side,272733,35,2017-11-24,https://p.scdn.co/mp3-preview/b26c070506cbfaf6543e009fe12018a2c271e881?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273928c1036cd11dc8cde28b229,https://open.spotify.com/track/1gZ65GKX8xsGxucrC7XyHG,eargasm | sleepwalking,filter house,0.745,0.488,0.445,0.7929999999999999,0.0886,0.0413,0.111,3.0,0.265,0.0,0.369,12.0,143.38,0.314,3.0,1.0
3337,4yJ3t4zxWTMS3qCoemwiAk,Henry Green,0VbDAlm2KUlKI5UhXRBKWp,Another Light,209826,0,2018-01-10,,https://i.scdn.co/image/ab67616d0000b273fd4bda4eb6369f71f47d4b8a,https://open.spotify.com/track/4yJ3t4zxWTMS3qCoemwiAk,eargasm | sleepwalking,electropop,0.78,0.67,0.395,0.653,0.0935,0.076,0.163,8.0,0.7170000000000001,0.0,0.525,12.0,109.932,0.7859999999999999,4.0,0.9890000000000001
3338,0yJuAj6VtPoHZw8QvHovAN,us & sparkles,1FTFHjLo1Moehog8IYKKVz,I'll Take That Richter,278019,13,2017-06-16,https://p.scdn.co/mp3-preview/6cef0390c1a3f1b30f5d5114163b10cfb91ed3f0?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273fa16e17644d80b042a83a11f,https://open.spotify.com/track/0yJuAj6VtPoHZw8QvHovAN,eargasm | sleepwalking,,0.617,0.7659999999999999,0.41,0.927,0.111,0.0647,0.053,1.0,0.361,0.0,0.509,12.0,100.98899999999999,0.309,4.0,1.0
3339,5AL4xrVa6HWqotEqNATFsU,Gabby And Lopez,6JC4vLpfzapb262Ag7lb7e,Reflection,541746,30,2010,https://p.scdn.co/mp3-preview/7e1ed6bdfc1cf91d24f180b0d099b4a44b9dee03?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b27346a08a712904ae5fcc643ecf,https://open.spotify.com/track/5AL4xrVa6HWqotEqNATFsU,eargasm | sleepwalking,,0.542,0.773,0.49200000000000005,0.8390000000000001,0.0602,0.0504,0.7909999999999999,2.0,0.366,1.0,0.519,12.0,104.001,0.92,4.0,0.995
3340,4U5e1DoKCDNvAlx0WnUv9h,Group Listening,1dYBVjbhVOu9Y4mmxDCPoe,What's A Girl To Do,434565,38,2019-09-17,https://p.scdn.co/mp3-preview/176c44f12deab4fdac7a88187febac200ea2841e?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b2732969f1b2f390dcf5e042c9e1,https://open.spotify.com/track/4U5e1DoKCDNvAlx0WnUv9h,eargasm | sleepwalking,,0.32299999999999995,0.672,0.478,0.91,0.0284,0.0363,0.165,8.0,0.605,1.0,0.527,12.0,117.544,0.895,4.0,0.963
